Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
Soonicorn Club Ventures,VC,"Pre-Seed, Seed",,Sector Agnostic,,,,Verify brand,,,,Unverified – inferred,HQ India,deal press,D-vc-accel,approved_high
Beej Capital,VC,"Pre-Seed, Seed",,Sector Agnostic,,,,Related Beej Network,,,,Unverified – inferred,HQ India,deal press,D-vc-accel,approved_high
Encubay Ventures,VC,"Pre-Seed, Seed",,Sector Agnostic,,,,Angel-network linked VC,,,,Unverified – inferred,HQ India,deal press,D-vc-accel,approved_high
India Alternatives,VC,"Series A, Series B",,Sector Agnostic,,,,India alternatives / growth,,,,Unverified – inferred,HQ India,deal press,D-vc-accel,approved_high
Systemiq Capital,VC,"Seed, Series A",,Climate / Sustainability,,https://www.systemiq.earth,,Climate — verify India deals,,,,Unverified – inferred,Active India cheque,https://www.systemiq.earth,D-vc-accel,approved_high
UnLtd India,Accelerator,Pre-Seed,,Impact,,https://www.unltdindia.org,,Social enterprise,,,,Unverified – inferred,HQ India,https://www.unltdindia.org,D-vc-accel,approved_high
Headstart Network Foundation,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://www.headstart.in,,Founder community + programs,,,,Unverified – inferred,HQ India,https://www.headstart.in,D-vc-accel,approved_high
C-CAMP,Accelerator,"Pre-Seed, Seed",,"Health, Biotech",,https://www.ccamp.res.in,,Bangalore biotech,,,,Unverified – inferred,HQ India,https://www.ccamp.res.in,D-vc-accel,approved_high
BIRAC,Accelerator,"Pre-Seed, Seed",,"Health, Biotech",,https://www.birac.nic.in,,Biotech programs,,,,Unverified – inferred,HQ India,https://www.birac.nic.in,D-vc-accel,approved_high
IKP Knowledge Park,Accelerator,"Pre-Seed, Seed",,"Deep Tech, Health",,https://www.ikpknowledgepark.com,,Hyderabad,,,,Unverified – inferred,HQ India,https://www.ikpknowledgepark.com,D-vc-accel,approved_high
a-IDEA NAARM,Accelerator,"Pre-Seed, Seed",,Agritech / Food,,https://www.aidea.naarm.org.in,,Agri incubator,,,,Unverified – inferred,HQ India,https://www.aidea.naarm.org.in,D-vc-accel,approved_high
Pusa Krishi,Accelerator,"Pre-Seed, Seed",,Agritech / Food,,https://pusakrishi.iari.res.in,,IARI,,,,Unverified – inferred,HQ India,https://pusakrishi.iari.res.in,D-vc-accel,approved_high
Agri Udaan,Accelerator,"Pre-Seed, Seed",,Agritech / Food,,https://www.agriudaan.com,,Food & agri,,,,Unverified – inferred,HQ India,https://www.agriudaan.com,D-vc-accel,approved_high
NABI Mohali,Accelerator,"Pre-Seed, Seed",,"Agritech / Food, Health",,https://nabi.res.in,,Agri-food biotech,,,,Unverified – inferred,HQ India,https://nabi.res.in,D-vc-accel,approved_high
Electropreneur Park,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.electropreneurpark.com,,Electronics Delhi,,,,Unverified – inferred,HQ India,https://www.electropreneurpark.com,D-vc-accel,approved_high
STPI Centres of Entrepreneurship,Accelerator,"Pre-Seed, Seed",,"SaaS / Enterprise, Deep Tech",,https://www.stpi.in,,STPI,,,,Unverified – inferred,HQ India,https://www.stpi.in,D-vc-accel,approved_high
iDEX,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://idex.gov.in,,Defence innovation,,,,Unverified – inferred,HQ India,https://idex.gov.in,D-vc-accel,approved_high
T-Works,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://tworks.in,,Hardware prototyping,,,,Unverified – inferred,HQ India,https://tworks.in,D-vc-accel,approved_high
Cisco LaunchPad,Accelerator,"Pre-Seed, Seed",,"Deep Tech, SaaS / Enterprise",,https://launchpad.cisco.com,,Cisco India,,,,Unverified – inferred,Active India cheque,https://launchpad.cisco.com,D-vc-accel,approved_high
SAP.iO Foundry India,Accelerator,"Pre-Seed, Seed",,SaaS / Enterprise,,https://sap.io,,SAP startups,,,,Unverified – inferred,Active India cheque,https://sap.io,D-vc-accel,approved_high
Google for Startups Accelerator India,Accelerator,"Pre-Seed, Seed",,AI / ML,,https://startup.google.com,,Google India,,,,Unverified – inferred,Active India cheque,https://startup.google.com,D-vc-accel,approved_high
Microsoft for Startups India,Accelerator,"Pre-Seed, Seed",,"SaaS / Enterprise, AI / ML",,https://www.microsoft.com/startups,,Microsoft,,,,Unverified – inferred,Active India cheque,https://www.microsoft.com/startups,D-vc-accel,approved_high
AWS Activate India,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://aws.amazon.com/startups,,AWS,,,,Unverified – inferred,Active India cheque,https://aws.amazon.com/startups,D-vc-accel,approved_high
NVIDIA Inception,Accelerator,"Pre-Seed, Seed",,"AI / ML, Deep Tech",,https://www.nvidia.com/en-us/startups/,,NVIDIA,,,,Unverified – inferred,Active India cheque,https://www.nvidia.com/en-us/startups/,D-vc-accel,approved_high
Yes Fintech,Accelerator,"Pre-Seed, Seed",,Fintech,,https://www.yesbank.in,,YES BANK,,,,Unverified – inferred,HQ India,https://www.yesbank.in,D-vc-accel,approved_high
TiE ScaleUp,Accelerator,"Seed, Series A",,Sector Agnostic,,https://tie.org,,TiE growth,,,,Unverified – inferred,HQ India,https://tie.org,D-vc-accel,approved_high
TiE Nurture,Accelerator,Pre-Seed,,Sector Agnostic,,https://tie.org,,TiE early,,,,Unverified – inferred,HQ India,https://tie.org,D-vc-accel,approved_high
Founders Institute Bangalore,Accelerator,Pre-Seed,,Sector Agnostic,,https://fi.co,,FI BLR,,,,Unverified – inferred,HQ India,https://fi.co,D-vc-accel,approved_high
Founders Institute Hyderabad,Accelerator,Pre-Seed,,Sector Agnostic,,https://fi.co,,FI HYD,,,,Unverified – inferred,HQ India,https://fi.co,D-vc-accel,approved_high
Founders Institute Mumbai,Accelerator,Pre-Seed,,Sector Agnostic,,https://fi.co,,FI BOM,,,,Unverified – inferred,HQ India,https://fi.co,D-vc-accel,approved_high
IISc SID,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://sid.iisc.ac.in,,IISc,,,,Unverified – inferred,HQ India,https://sid.iisc.ac.in,D-vc-accel,approved_high
IIT Hyderabad i-TIC,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://i-tic.iith.ac.in,,IITH,,,,Unverified – inferred,HQ India,https://i-tic.iith.ac.in,D-vc-accel,approved_high
IIT Guwahati Technology Incubation Centre,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.iitg.ac.in,,IITG,,,,Unverified – inferred,HQ India,https://www.iitg.ac.in,D-vc-accel,approved_high
IIT Ropar Incubation Foundation,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.iitrpr.ac.in,,IIT Ropar,,,,Unverified – inferred,HQ India,https://www.iitrpr.ac.in,D-vc-accel,approved_high
IIT Mandi Catalyst,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.iitmandi.ac.in,,IIT Mandi,,,,Unverified – inferred,HQ India,https://www.iitmandi.ac.in,D-vc-accel,approved_high
IIT Indore Innovation,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.iiti.ac.in,,IIT Indore,,,,Unverified – inferred,HQ India,https://www.iiti.ac.in,D-vc-accel,approved_high
IIT Bhubaneswar Research & Entrepreneurship Park,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.iitbbs.ac.in,,IIT BBS,,,,Unverified – inferred,HQ India,https://www.iitbbs.ac.in,D-vc-accel,approved_high
IIT Roorkee TIDES,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.iitr.ac.in,,IITR,,,,Unverified – inferred,HQ India,https://www.iitr.ac.in,D-vc-accel,approved_high
NITK STEP,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.nitk.ac.in,,Surathkal,,,,Unverified – inferred,HQ India,https://www.nitk.ac.in,D-vc-accel,approved_high
NIT Trichy TBI,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.nitt.edu,,NITT,,,,Unverified – inferred,HQ India,https://www.nitt.edu,D-vc-accel,approved_high
BITS Pilani TBI,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.bits-pilani.ac.in,,BITS,,,,Unverified – inferred,HQ India,https://www.bits-pilani.ac.in,D-vc-accel,approved_high
Amrita TBI,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.amrita.edu,,Amrita,,,,Unverified – inferred,HQ India,https://www.amrita.edu,D-vc-accel,approved_high
VIT-TBI,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://vit.ac.in,,VIT,,,,Unverified – inferred,HQ India,https://vit.ac.in,D-vc-accel,approved_high
SRM Innovation Incubation Centre,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://www.srmist.edu.in,,SRM,,,,Unverified – inferred,HQ India,https://www.srmist.edu.in,D-vc-accel,approved_high
IIM Lucknow Enterprise Incubator,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://www.iiml.ac.in,,IIML,,,,Unverified – inferred,HQ India,https://www.iiml.ac.in,D-vc-accel,approved_high
IIM Kozhikode LIVE,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://iimk.ac.in,,IIMK,,,,Unverified – inferred,HQ India,https://iimk.ac.in,D-vc-accel,approved_high
iCreate,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://www.icreate.org.in,,Gujarat,,,,Unverified – inferred,HQ India,https://www.icreate.org.in,D-vc-accel,approved_high
Deshpande Startups,Accelerator,"Pre-Seed, Seed",,Impact,,https://www.deshpandefoundation.org,,Hubli,,,,Unverified – inferred,HQ India,https://www.deshpandefoundation.org,D-vc-accel,approved_high
Startup Punjab,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://www.startuppunjab.gov.in,,State,,,,Unverified – inferred,HQ India,https://www.startuppunjab.gov.in,D-vc-accel,approved_high
Startup Haryana,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://startupharyana.gov.in,,State,,,,Unverified – inferred,HQ India,https://startupharyana.gov.in,D-vc-accel,approved_high
MeitY TIDE 2.0,Accelerator,"Pre-Seed, Seed",,"Deep Tech, AI / ML",,https://www.meity.gov.in,,TIDE network,,,,Unverified – inferred,HQ India,https://www.meity.gov.in,D-vc-accel,approved_high
RTBI IIT Madras,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.rtbi.in,,Rural tech IITM,,,,Unverified – inferred,HQ India,https://www.rtbi.in,D-vc-accel,approved_high
Dasra,Accelerator,Pre-Seed,,Impact,,https://www.dasra.org,,Impact builder,,,,Unverified – inferred,HQ India,https://www.dasra.org,D-vc-accel,approved_high
Acumen Academy India,Accelerator,Pre-Seed,,Impact,,https://acumenacademy.org,,Impact,,,,Unverified – inferred,HQ India,https://acumenacademy.org,D-vc-accel,approved_high
Intellecap,Accelerator,"Pre-Seed, Seed",,Impact,,https://www.intellecap.com,,Impact programs,,,,Unverified – inferred,Active India cheque,https://www.intellecap.com,D-vc-accel,approved_high
NASSCOM CoE Fintech,Accelerator,"Pre-Seed, Seed",,Fintech,,https://www.nasscom.in,,CoE,,,,Unverified – inferred,HQ India,https://www.nasscom.in,D-vc-accel,approved_high
NASSCOM CoE IoT & AI,Accelerator,"Pre-Seed, Seed",,"Deep Tech, AI / ML",,https://www.nasscom.in,,CoE,,,,Unverified – inferred,HQ India,https://www.nasscom.in,D-vc-accel,approved_high
Razorpay Rize,Accelerator,"Pre-Seed, Seed",,"Fintech, SaaS / Enterprise",,https://rize.razorpay.com,,Razorpay startups,,,,Unverified – inferred,HQ India,https://rize.razorpay.com,D-vc-accel,approved_high
Mahindra Sparkle,Accelerator,"Pre-Seed, Seed",,"Deep Tech, Mobility",,https://www.mahindra.com,,Mahindra,,,,Unverified – inferred,HQ India,https://www.mahindra.com,D-vc-accel,approved_high
Plaksha University Launchpad,Accelerator,Pre-Seed,,Deep Tech,,https://plaksha.edu.in,,Plaksha,,,,Unverified – inferred,HQ India,https://plaksha.edu.in,D-vc-accel,approved_high
Ashoka University Entrepreneurship,Accelerator,Pre-Seed,,Sector Agnostic,,https://www.ashoka.edu.in,,Ashoka,,,,Unverified – inferred,HQ India,https://www.ashoka.edu.in,D-vc-accel,approved_high
AIC Banasthali,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,,,Atal Incubation Centre,,,,Unverified – inferred,HQ India,deal press,D-vc-accel,approved_high
AIC NITTE,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,,,Atal Incubation Centre,,,,Unverified – inferred,HQ India,deal press,D-vc-accel,approved_high
Manipal Universal TBI,Accelerator,"Pre-Seed, Seed",,Health,,https://manipal.edu,,Manipal TBI,,,,Unverified – inferred,HQ India,https://manipal.edu,D-vc-accel,approved_high
Genome Valley Bio Incubators,Accelerator,"Pre-Seed, Seed",,"Health, Biotech",,,,Hyderabad cluster,,,,Unverified – inferred,HQ India,deal press,D-vc-accel,approved_high
RKVY-RAFTAAR Incubators,Accelerator,"Pre-Seed, Seed",,Agritech / Food,,https://rkvy.nic.in,,Agri scheme incubators,,,,Unverified – inferred,HQ India,https://rkvy.nic.in,D-vc-accel,approved_high
Goa Startup Mission,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://www.goa.gov.in,,State,,,,Unverified – inferred,HQ India,https://www.goa.gov.in,D-vc-accel,approved_high
Startup Madhya Pradesh,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,,,State,,,,Unverified – inferred,HQ India,state portal,D-vc-accel,approved_high
Startup Jharkhand,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,,,State,,,,Unverified – inferred,HQ India,state portal,D-vc-accel,approved_high
Bihar Startup Fund programs,Accelerator,Pre-Seed,,Sector Agnostic,,,,State,,,,Unverified – inferred,HQ India,state portal,D-vc-accel,approved_high
Startup Himachal,Accelerator,Pre-Seed,,Sector Agnostic,,,,State,,,,Unverified – inferred,HQ India,state portal,D-vc-accel,approved_high
Startup J&K,Accelerator,Pre-Seed,,Sector Agnostic,,,,State,,,,Unverified – inferred,HQ India,state portal,D-vc-accel,approved_high
Chhattisgarh Startup,Accelerator,Pre-Seed,,Sector Agnostic,,,,State,,,,Unverified – inferred,HQ India,state portal,D-vc-accel,approved_high
Village Capital India,Accelerator,"Pre-Seed, Seed",,"Impact, Fintech",,https://vilcap.com,,Verify India cohorts,,,,Unverified – inferred,Active India cheque,https://vilcap.com,D-vc-accel,approved_high
Bosch Startup Harbor India,Accelerator,"Pre-Seed, Seed",,"Deep Tech, Mobility",,https://www.bosch.com,,Bosch,,,,Unverified – inferred,Active India cheque,https://www.bosch.com,D-vc-accel,approved_high
Intel India Ignite,Accelerator,"Pre-Seed, Seed",,"Deep Tech, AI / ML",,https://www.intel.in,,Intel,,,,Unverified – inferred,Active India cheque,https://www.intel.in,D-vc-accel,approved_high
Qualcomm Design in India Startup,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.qualcomm.com,,Qualcomm,,,,Unverified – inferred,Active India cheque,https://www.qualcomm.com,D-vc-accel,approved_high
Cashfree for Startups,Accelerator,Pre-Seed,,Fintech,,https://www.cashfree.com,,Cashfree,,,,Unverified – inferred,HQ India,https://www.cashfree.com,D-vc-accel,approved_high
