name,website,type,stages
"KIIT-TBI","https://kiitincubator.in","Accelerator","Pre-Seed"
"Maharashtra State Innovation Society","https://mahasbic.gov.in","Accelerator","Pre-Seed"
"Mahindra Sparkle","https://www.mahindra.com","Accelerator","Pre-Seed"
"Manipal Universal TBI","https://manipal.edu","Accelerator","Pre-Seed"
"MeitY Startup Hub / GENESIS partners","https://msh.meity.gov.in","Accelerator","Pre-Seed"
"MeitY TIDE 2.0","https://www.meity.gov.in","Accelerator","Pre-Seed"
"Microsoft for Startups India","https://www.microsoft.com/startups","Accelerator","Pre-Seed"
"NABI Mohali","https://nabi.res.in","Accelerator","Pre-Seed"
"NASSCOM 10000 Startups","https://10000startups.com","Accelerator","Pre-Seed"
"NASSCOM CoE Fintech","https://www.nasscom.in","Accelerator","Pre-Seed"
"NASSCOM CoE IoT & AI","https://www.nasscom.in","Accelerator","Pre-Seed"
"NIDHI PRAYAS","https://www.nstedb.com","Accelerator","Pre-Seed"
"NIT Trichy TBI","https://www.nitt.edu","Accelerator","Pre-Seed"
"NITK STEP","https://www.nitk.ac.in","Accelerator","Pre-Seed"
"NSRCEL","https://nsrcel.org","Accelerator","Pre-Seed"
"NVIDIA Inception","https://www.nvidia.com/en-us/startups/","Accelerator","Pre-Seed"
"Odisha Startup / Startup Odisha","https://startupodisha.gov.in","Accelerator","Pre-Seed"
"Plaksha University Launchpad","https://plaksha.edu.in","Accelerator","Pre-Seed"
"PSG-STEP","https://psgstep.org","Accelerator","Pre-Seed"
"Pusa Krishi","https://pusakrishi.iari.res.in","Accelerator","Pre-Seed"
"Qualcomm Design in India Startup","https://www.qualcomm.com","Accelerator","Pre-Seed"
"Razorpay Rize","https://rize.razorpay.com","Accelerator","Pre-Seed"
"RKVY-RAFTAAR Incubators","https://rkvy.nic.in","Accelerator","Pre-Seed"
"RTBI IIT Madras","https://www.rtbi.in","Accelerator","Pre-Seed"
"SAP.iO Foundry India","https://sap.io","Accelerator","Pre-Seed"
"SIIC IIT Kanpur","https://siic.iitk.ac.in","Accelerator","Pre-Seed"
"SINE IIT Bombay","https://sineiitb.org","Accelerator","Pre-Seed"
"SRM Innovation Incubation Centre","https://www.srmist.edu.in","Accelerator","Pre-Seed"
"Startup Haryana","https://startupharyana.gov.in","Accelerator","Pre-Seed"
"Startup Oasis","https://startupoasis.in","Accelerator","Pre-Seed"
"Startup Punjab","https://www.startuppunjab.gov.in","Accelerator","Pre-Seed"
"STPI Centres of Entrepreneurship","https://www.stpi.in","Accelerator","Pre-Seed"
"Surge","https://surge.com","Accelerator","Seed"
"T-Hub","https://t-hub.co","Accelerator","Pre-Seed"
"T-Works","https://tworks.in","Accelerator","Pre-Seed"
"Tamil Nadu Startup & Innovation Mission","https://startuptn.in","Accelerator","Pre-Seed"
"Techstars","https://www.techstars.com","Accelerator","Pre-Seed"
"Telangana TSIC / T-Hub related programs","https://enrich.telangana.gov.in","Accelerator","Pre-Seed"
"TiE Nurture","https://tie.org","Accelerator","Pre-Seed"
"TiE ScaleUp","https://tie.org","Accelerator","Seed,Series A"
"UnLtd India","https://www.unltdindia.org","Accelerator","Pre-Seed"
"Village Capital India","https://vilcap.com","Accelerator","Pre-Seed"
"Villgro","https://villgro.org","Accelerator","Pre-Seed"
"VIT-TBI","https://vit.ac.in","Accelerator","Pre-Seed"
"WEIN Capital","https://weincapital.in","Accelerator","Seed"
"Yes Fintech","https://www.yesbank.in","Accelerator","Pre-Seed"
"Zone Startups India","https://zonestartups.com","Accelerator","Pre-Seed"
"Anand Chandrasekaran","https://www.celesta.vc","Angel / Individual","Pre-Seed"
"Anupam Mittal","https://www.shaadi.com","Angel / Individual","Pre-Seed"
"BeyondSeed","https://beyondseed.sg","Angel / Individual","Pre-Seed"
"Cogniphy","https://cogniphy.us","Angel / Individual","Pre-Seed"
"Equentis","https://equentis.com","Angel / Individual","Pre-Seed"
"Gaurav Munjal","https://unacademy.com","Angel / Individual","Pre-Seed"
"InCred Ventures","https://incred.com","Angel / Individual","Pre-Seed"
"Infinyte Club","https://infinyte.club","Angel / Individual","Pre-Seed"
"Kunal Shah","https://cred.club","Angel / Individual","Pre-Seed"
"Negen Capital","https://negencapital.com","Angel / Individual","Pre-Seed"
"Perpetuity","https://perpetuity.co.in","Angel / Individual","Pre-Seed"
"Rajan Anandan","https://www.linkedin.com/in/rajananandan","Angel / Individual","Pre-Seed"
"Soonicorn Ventures","https://soonicornventures.com","Angel / Individual","Pre-Seed"
"Transition VC","https://transitionventurecapital.com","Angel / Individual","Pre-Seed"
"Wisdom Smith Angels","https://wisdomsmith.com","Angel / Individual","Pre-Seed"
"Amazon Smbhav Venture Fund","https://www.aboutamazon.in","Corporate / CVC","Seed,Series A"
"Apollo Connect / Apollo Hospitals Ventures","https://www.apollohospitals.com","Corporate / CVC","Seed,Series A"
"Bajaj Labs / Bajaj Finserv Ventures","https://www.bajajfinserv.in","Corporate / CVC","Seed,Series A"
"Biocon Innovation / Biocon Ventures","https://www.biocon.com","Corporate / CVC","Seed,Series A"
"Birlasoft Ventures","https://www.birlasoft.com","Corporate / CVC","Seed,Series A"
"Bosch Ventures","https://www.bosch.ventures","Corporate / CVC","Seed,Series A"
"BP Ventures","https://www.bp.com","Corporate / CVC","Seed,Series A"
"Brand Capital","https://brandcapital.co.in","Corporate / CVC","Seed,Series A"
"BrowserStack Investments","https://www.browserstack.com","Corporate / CVC","Seed,Series A"
"Chargebee Investments","https://www.chargebee.com","Corporate / CVC","Seed,Series A"
"Cipla New Ventures","https://www.cipla.com","Corporate / CVC","Seed,Series A"
"Cisco Investments","https://www.cisco.com","Corporate / CVC","Series A,Series B"
"CitiusTech Investments","https://www.citiustech.com","Corporate / CVC","Seed,Series A"
"CoinDCX Ventures","https://coindcx.com","Corporate / CVC","Seed,Series A"
"Delivery Hero Ventures","https://www.deliveryhero.com","Corporate / CVC","Seed,Series A"
"Dr Reddy's Ventures","https://www.drreddys.com","Corporate / CVC","Seed,Series A"
"Dream Sports Ventures","https://www.dreamsports.gg","Corporate / CVC","Seed,Series A"
"Flipkart Ventures","https://stories.flipkart.com","Corporate / CVC","Seed,Series A"
"Freshworks Capital","https://www.freshworks.com","Corporate / CVC","Seed,Series A"
"Gradient Ventures","https://www.gradient.com","Corporate / CVC","Seed,Series A"
"HCL Software Investments","https://www.hcltech.com","Corporate / CVC","Seed,Series A"
"Hero Enterprise","https://www.heroenterprise.com","Corporate / CVC","Seed,Series A,Series B"
"Honda Ventures","https://www.honda.com","Corporate / CVC","Seed,Series A"
"Hyundai CRADLE","https://cradle.hyundai.com","Corporate / CVC","Seed,Series A"
"Info Edge Ventures","https://www.infoedge.com","Corporate / CVC","Seed,Series A,Series B"
"Infosys Innovation Fund","https://www.infosys.com","Corporate / CVC","Seed,Series A"
"Intel Capital","https://www.intelcapital.com","Corporate / CVC","Seed,Series A,Series B"
"Invert by Groww","https://groww.in","Corporate / CVC","Seed,Series A"
"L&T Technology Services Ventures","https://www.ltts.com","Corporate / CVC","Seed,Series A"
"Lupin Digital Health Ventures","https://www.lupin.com","Corporate / CVC","Seed,Series A"
"M12","https://m12.vc","Corporate / CVC","Seed,Series A,Series B"
"Mahindra Partners","https://www.mahindrapartners.com","Corporate / CVC","Series A,Series B,Series C+"
"Marico Growth Ventures","https://www.marico.com","Corporate / CVC","Seed,Series A"
"Mindtree Ventures / LTIMindtree Investments","https://www.ltimindtree.com","Corporate / CVC","Seed,Series A"
"Mphasis NEXT Labs Investments","https://www.mphasis.com","Corporate / CVC","Seed,Series A"
"Naspers Foundry","https://www.naspers.com","Corporate / CVC","Seed,Series A"
"Nazara Ventures","https://www.nazara.com","Corporate / CVC","Seed,Series A"
"Nestlé Ventures","https://www.nestle.com","Corporate / CVC","Seed,Series A"
"next47","https://next47.com","Corporate / CVC","Seed,Series A,Series B"
"PayU Ventures","https://www.payu.in","Corporate / CVC","Seed,Series A"
"Persistent Ventures","https://www.persistent.com","Corporate / CVC","Seed,Series A"
"Postman Capital","https://www.postman.com","Corporate / CVC","Seed,Series A"
"Prosus Ventures","https://www.prosus.com","Corporate / CVC","Series A,Series B,Series C+"
"Qualcomm Ventures","https://www.qualcommventures.com","Corporate / CVC","Seed,Series A,Series B"
"Reliance Ventures","https://www.ril.com","Corporate / CVC","Series A,Series B,Series C+"
"Samsung Ventures","https://www.samsungventures.com","Corporate / CVC","Seed,Series A,Series B"
"SC Ventures","https://www.sc.com/en/ventures/","Corporate / CVC","Seed,Series A"
"Scalable Capital","https://scalable.capital","Corporate / CVC",""
"SE Ventures","https://se.ventures","Corporate / CVC","Seed,Series A"
"Shell Ventures","https://www.shell.com/ventures","Corporate / CVC","Seed,Series A,Series B"
"Sony Innovation Fund","https://www.sonyinnovationfund.com","Corporate / CVC","Seed,Series A"
"Sun Pharma Ventures","https://www.sunpharma.com","Corporate / CVC","Seed,Series A"
"Tata Capital Innovations","https://www.tatacapital.com","Corporate / CVC","Seed,Series A"
"TCS Co-Innovation / TCS Ventures","https://www.tcs.com","Corporate / CVC","Seed,Series A"
"Tech Mahindra Ventures","https://www.techmahindra.com","Corporate / CVC","Seed,Series A"
"TotalEnergies Ventures","https://totalenergies.com","Corporate / CVC","Seed,Series A"
"Toyota Ventures","https://www.toyota.ventures","Corporate / CVC","Seed,Series A"
"Unilever Ventures","https://www.unileverventures.com","Corporate / CVC","Seed,Series A"
"upGrad Ventures","https://www.upgrad.com","Corporate / CVC","Seed,Series A"
"Wipro Ventures","https://www.wipro.com","Corporate / CVC","Seed,Series A"
"Zoho Investments","https://www.zoho.com","Corporate / CVC","Seed,Series A"
"Calcutta Angels Network","https://calcuttaangels.com","Syndicate / Network","Pre-Seed"
"Growth valley","https://growthvalley.in","Syndicate / Network","Pre-Seed,Pre-Series A,Series B"
"Hyderabad Angels","https://hyderabadangels.com","Syndicate / Network","Pre-Seed"
"IAMAI Angel Network","https://www.iamai.in","Syndicate / Network","Pre-Seed"
"JITO Angel Network","https://www.jito.org","Syndicate / Network","Pre-Seed"
"Lead Angels","https://leadangels.in","Syndicate / Network","Pre-Seed"
"LetsVenture","https://www.letsventure.com","Syndicate / Network","Pre-Seed"
"Mumbai Angels Network","https://www.mumbaiangels.com","Syndicate / Network","Pre-Seed"
"Nativelead Foundation / Nativelead Angels","https://nativelead.com","Syndicate / Network","Pre-Seed"
"TiE Bangalore Angels","https://bangalore.tie.org","Syndicate / Network","Pre-Seed"
"TiE Chennai Angels","https://chennai.tie.org","Syndicate / Network","Pre-Seed"
"TiE Delhi-NCR Angels","https://delhi.tie.org","Syndicate / Network","Pre-Seed"
"TiE Hyderabad Angels","https://hyderabad.tie.org","Syndicate / Network","Pre-Seed"
"TiE Mumbai Angels","https://mumbai.tie.org","Syndicate / Network","Pre-Seed"
