Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
QED Investors,VC,"Seed, Series A, Series B",,Fintech,,https://qedinvestors.com,,,,,,Unverified – inferred,Active India cheque,https://qedinvestors.com,A,pending_confirmation
Valar Ventures,VC,"Seed, Series A",,Fintech,,https://www.valar.com,,,,,,Unverified – inferred,Active India cheque,https://www.valar.com,A,pending_confirmation
Thrive Capital,VC,"Series A, Series B, Growth",,"Consumer / D2C, AI / ML",,https://thrivecap.com,,,,,,Unverified – inferred,Active India cheque,https://thrivecap.com,A,pending_confirmation
New Enterprise Associates,VC,"Series A, Series B, Growth",,Sector Agnostic,,https://www.nea.com,,,,,,Unverified – inferred,Active India cheque,https://www.nea.com,A,pending_confirmation
Andreessen Horowitz,VC,"Seed, Series A, Series B",,"AI / ML, Crypto / Web3",,https://a16z.com,,,,,,Unverified – inferred,Active India cheque,https://a16z.com,A,pending_confirmation
Founders Fund,VC,"Seed, Series A, Series B",,Deep Tech,,https://foundersfund.com,,,,,,Unverified – inferred,Active India cheque,https://foundersfund.com,A,pending_confirmation
Helion Venture Partners,VC,"Seed, Series A, Series B",,Sector Agnostic,,,,Legacy India VC — confirm still deploying,,,,Unverified – inferred,HQ India,manual research,A,pending_confirmation
Lightbox Ventures,VC,"Series A, Series B",,Consumer / D2C,,,,Confirm active,,,,Unverified – inferred,HQ India,manual research,A,pending_confirmation
Zodius Capital,VC,"Series A, Series B",,Sector Agnostic,,,,Confirm active,,,,Unverified – inferred,HQ India,manual research,A,pending_confirmation
IAN Fund,VC,"Pre-Seed, Seed",,Sector Agnostic,,https://www.ianfund.com,,Distinct from Indian Angel Network org row,,,,Unverified – inferred,HQ India,https://www.ianfund.com,A,pending_confirmation
Stanford Angels & Entrepreneurs India,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,,,,,,,Unverified – inferred,Active India cheque,manual research,A,pending_confirmation
IIT Bombay Alumni Association Angels,Syndicate / Network,"Pre-Seed, Seed",,Deep Tech,,,,,,,,Unverified – inferred,HQ India,manual research,A,pending_confirmation
CIIE.CO,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://ciie.co,,,,,,Unverified – inferred,HQ India,https://ciie.co,A,pending_confirmation
T-Hub,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://t-hub.co,,,,,,Unverified – inferred,HQ India,https://t-hub.co,A,pending_confirmation
CIE IIIT Hyderabad,Accelerator,Pre-Seed,,Deep Tech,,https://cie.iiit.ac.in,,,,,,Unverified – inferred,HQ India,https://cie.iiit.ac.in,A,pending_confirmation
Zone Startups India,Accelerator,"Pre-Seed, Seed",,Fintech,,https://zonestartups.com,,,,,,Unverified – inferred,HQ India,https://zonestartups.com,A,pending_confirmation
KITVEN,VC,"Seed, Series A",,Sector Agnostic,,,,Karnataka state-linked,,,,Unverified – inferred,HQ India,manual research,A,pending_confirmation
Piramal Alternatives,PE,"Growth, Debt",,Sector Agnostic,,https://www.piramal.com,,,,,,Unverified – inferred,HQ India,https://www.piramal.com,A,pending_confirmation
Edelweiss Alternative Asset Advisors,PE,"Growth, Debt",,Sector Agnostic,,https://www.edelweissfin.com,,,,,,Unverified – inferred,HQ India,https://www.edelweissfin.com,A,pending_confirmation
Motilal Oswal Private Equity,PE,Growth,,Sector Agnostic,,https://www.motilaloswal.com,,,,,,Unverified – inferred,HQ India,https://www.motilaloswal.com,A,pending_confirmation
JM Financial Private Equity,PE,Growth,,Sector Agnostic,,https://www.jmfl.com,,,,,,Unverified – inferred,HQ India,https://www.jmfl.com,A,pending_confirmation
Amansa Holdings,PE,Growth,,Sector Agnostic,,,,,,,,Unverified – inferred,HQ India,manual research,A,pending_confirmation
Hornbill Capital Advisers,VC,"Series A, Series B",,Sector Agnostic,,,,,,,,Unverified – inferred,HQ India,manual research,A,pending_confirmation
Point Nine Capital,VC,"Seed, Series A",,SaaS / Enterprise,,https://pointnine.com,,,,,,Unverified – inferred,Active India cheque,https://pointnine.com,A,pending_confirmation
LocalGlobe,VC,"Seed, Series A",,Sector Agnostic,,https://www.localglobe.vc,,,,,,Unverified – inferred,Active India cheque,https://www.localglobe.vc,A,pending_confirmation
Seedcamp,VC,"Pre-Seed, Seed",,Sector Agnostic,,https://seedcamp.com,,,,,,Unverified – inferred,Active India cheque,https://seedcamp.com,A,pending_confirmation
Atomico,VC,"Series A, Series B",,Sector Agnostic,,https://www.atomico.com,,,,,,Unverified – inferred,Active India cheque,https://www.atomico.com,A,pending_confirmation
Balderton Capital,VC,"Series A, Series B",,Sector Agnostic,,https://www.balderton.com,,,,,,Unverified – inferred,Active India cheque,https://www.balderton.com,A,pending_confirmation
Coinbase Ventures,VC,"Seed, Series A",,Crypto / Web3,,https://www.coinbase.com/ventures,,,,,,Unverified – inferred,Active India cheque,https://www.coinbase.com/ventures,A,pending_confirmation
YZi Labs,VC,"Seed, Series A",,Crypto / Web3,,https://www.binance.com,,Formerly Binance Labs,,,,Unverified – inferred,Active India cheque,https://www.binance.com,A,pending_confirmation
Polygon Ventures,VC,"Seed, Series A",,Crypto / Web3,,https://polygon.technology,,,,,,Unverified – inferred,HQ India,https://polygon.technology,A,pending_confirmation
Woodstock Fund,VC,"Seed, Series A",,Crypto / Web3,,https://woodstock.fund,,,,,,Unverified – inferred,Active India cheque,https://woodstock.fund,A,pending_confirmation
Pantera Capital,VC,"Seed, Series A, Series B",,Crypto / Web3,,https://panteracapital.com,,,,,,Unverified – inferred,Active India cheque,https://panteracapital.com,A,pending_confirmation
Paradigm,VC,"Seed, Series A, Series B",,Crypto / Web3,,https://www.paradigm.xyz,,,,,,Unverified – inferred,Active India cheque,https://www.paradigm.xyz,A,pending_confirmation
SBI Investment,VC,"Seed, Series A, Series B",,Sector Agnostic,,https://www.sbinvestment.co.jp,,,,,,Unverified – inferred,Active India cheque,https://www.sbinvestment.co.jp,A,pending_confirmation
Honda Ventures,Corporate / CVC,"Seed, Series A",,Mobility,,https://www.honda.com,,,,,,Unverified – inferred,Active India cheque,https://www.honda.com,A,pending_confirmation
Toyota Ventures,Corporate / CVC,"Seed, Series A",,"Mobility, Climate / Sustainability",,https://www.toyota.ventures,,,,,,Unverified – inferred,Active India cheque,https://www.toyota.ventures,A,pending_confirmation
Hyundai CRADLE,Corporate / CVC,"Seed, Series A",,Mobility,,https://cradle.hyundai.com,,,,,,Unverified – inferred,Active India cheque,https://cradle.hyundai.com,A,pending_confirmation
Bosch Ventures,Corporate / CVC,"Seed, Series A",,"Deep Tech, Mobility",,https://www.bosch.ventures,,,,,,Unverified – inferred,Active India cheque,https://www.bosch.ventures,A,pending_confirmation
Hero Enterprise,Corporate / CVC,"Seed, Series A, Series B",,"Mobility, Fintech",,https://www.heroenterprise.com,,,,,,Unverified – inferred,HQ India,https://www.heroenterprise.com,A,pending_confirmation
Bajaj Labs / Bajaj Finserv Ventures,Corporate / CVC,"Seed, Series A",,Fintech,,https://www.bajajfinserv.in,,,,,,Unverified – inferred,HQ India,https://www.bajajfinserv.in,A,pending_confirmation
Invert by Groww,Corporate / CVC,"Seed, Series A",,Fintech,,https://groww.in,,,,,,Unverified – inferred,HQ India,https://groww.in,A,pending_confirmation
Razorpay Capital,Corporate / CVC,"Seed, Series A",,Fintech,,https://razorpay.com,,Confirm formal vehicle,,,,Unverified – inferred,HQ India,https://razorpay.com,A,pending_confirmation
PhonePe Ventures,Corporate / CVC,"Seed, Series A",,Fintech,,https://www.phonepe.com,,Confirm formal vehicle,,,,Unverified – inferred,HQ India,https://www.phonepe.com,A,pending_confirmation
Dream Sports Ventures,Corporate / CVC,"Seed, Series A",,Gaming / Media,,https://www.dreamsports.gg,,,,,,Unverified – inferred,HQ India,https://www.dreamsports.gg,A,pending_confirmation
Cipla New Ventures,Corporate / CVC,"Seed, Series A",,Health,,https://www.cipla.com,,,,,,Unverified – inferred,HQ India,https://www.cipla.com,A,pending_confirmation
Apollo Connect / Apollo Hospitals Ventures,Corporate / CVC,"Seed, Series A",,Health,,https://www.apollohospitals.com,,,,,,Unverified – inferred,HQ India,https://www.apollohospitals.com,A,pending_confirmation
Varanium Capital Advisors,VC,"Seed, Series A, Series B",,Sector Agnostic,,https://varanium.com,,,,,,Unverified – inferred,HQ India,https://varanium.com,A,pending_confirmation
Fountainhead Finance / Fountainhead Growth,VC,"Series A, Series B",,Sector Agnostic,,,,,,,,Unverified – inferred,HQ India,manual research,A,pending_confirmation
Trident Capital Asia,VC,"Series A, Series B",,Sector Agnostic,,,,,,,,Unverified – inferred,India practice (global),manual research,A,pending_confirmation
Ganita Partners,VC,"Seed, Series A",,"Fintech, SaaS / Enterprise",,,,,,,,Unverified – inferred,India practice (global),manual research,A,pending_confirmation
Addition,VC,"Series A, Series B",,SaaS / Enterprise,,https://addition.com,,Confirm India deals,,,,Unverified – inferred,Active India cheque,https://addition.com,A,pending_confirmation
Northzone,VC,"Seed, Series A",,Sector Agnostic,,https://northzone.com,,Confirm India deals,,,,Unverified – inferred,Active India cheque,https://northzone.com,A,pending_confirmation
Creandum,VC,"Seed, Series A",,Sector Agnostic,,https://creandum.com,,Confirm India deals,,,,Unverified – inferred,Active India cheque,https://creandum.com,A,pending_confirmation
Speedinvest,VC,"Pre-Seed, Seed",,Sector Agnostic,,https://www.speedinvest.com,,Confirm India deals,,,,Unverified – inferred,Active India cheque,https://www.speedinvest.com,A,pending_confirmation
Multicoin Capital,VC,"Seed, Series A",,Crypto / Web3,,https://multicoin.capital,,,,,,Unverified – inferred,Active India cheque,https://multicoin.capital,A,pending_confirmation
Mechanism Capital,VC,"Seed, Series A",,Crypto / Web3,,https://www.mechanism.capital,,,,,,Unverified – inferred,Active India cheque,https://www.mechanism.capital,A,pending_confirmation
CoinDCX Ventures,Corporate / CVC,"Seed, Series A",,Crypto / Web3,,https://coindcx.com,,,,,,Unverified – inferred,HQ India,https://coindcx.com,A,pending_confirmation
Know3 Ventures,VC,"Pre-Seed, Seed",,Sector Agnostic,,,,,,,,Unverified – inferred,HQ India,manual research,A,pending_confirmation
Beacon Trusteeship / Beacon India PE,PE,Growth,,Sector Agnostic,,,,,,,,Unverified – inferred,HQ India,manual research,A,pending_confirmation
SBI Caps Ventures / SBICAP Ventures,VC,"Seed, Series A, Series B",,Sector Agnostic,,https://www.sbicapventures.com,,,,,,Unverified – inferred,HQ India,https://www.sbicapventures.com,A,pending_confirmation
Kerala Startup Mission,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://startupmission.kerala.gov.in,,,,,,Unverified – inferred,HQ India,https://startupmission.kerala.gov.in,A,pending_confirmation
Maharashtra State Innovation Society,Accelerator,Pre-Seed,,Sector Agnostic,,,,,,,,Unverified – inferred,HQ India,manual research,A,pending_confirmation
AP Innovation Society,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,,,,,,,Unverified – inferred,HQ India,manual research,A,pending_confirmation
NSRCEL,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://nsrcel.org,,,,,,Unverified – inferred,HQ India,https://nsrcel.org,A,pending_confirmation
MeitY Startup Hub / GENESIS partners,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://msh.meity.gov.in,,,,,,Unverified – inferred,HQ India,https://msh.meity.gov.in,A,pending_confirmation
DPIIT Startup India Seed Fund (intermediaries),VC,"Pre-Seed, Seed",,Sector Agnostic,,https://www.startupindia.gov.in,,Split into named incubators in Wave B,,,,Unverified – inferred,HQ India,https://www.startupindia.gov.in,A,pending_confirmation
